vessel_id,vessel_name,ssvid_mmsi,flag,event_type,event_start,event_end,event_lat,event_lon,distance_km_from_origin,loitering_hours,avg_speed_knots,source_image,probable_origin_lat,probable_origin_lon
71c03e7d3-373a-c4ad-09dd-7c8d588b26e4,SHALIMOL,419818359,IND,loitering,2024-01-07T13:57:11.000Z,2024-01-07T16:37:33.000Z,15.0057,70.0451,2.71,2.672777777777778,0.2164549427788607,img_0003.jpg,15.0235,70.0278
69da4063f-f5f8-a1fc-94a2-42e180ef4ca3,SHALIMOL BOUY-3,419512092,IND,loitering,2024-01-07T12:36:55.000Z,2024-01-07T23:05:35.000Z,15.0565,70.1124,9.8,10.477777777777778,0.1367781485178621,img_0003.jpg,15.0235,70.0278
38cd02d98-80c6-5e7a-33b4-4309bab108f1,PUNITHAANTHONIYAR,419435106,IND,loitering,2024-01-08T23:06:45.000Z,2024-01-09T00:54:31.000Z,15.1516,70.1702,20.9,1.7961111111111112,1.1199574124087486,img_0003.jpg,15.0235,70.0278
1c8ab4213-3f79-da2e-1f20-847ad6ea0058,JERUSALEM NET 1_95%,419731259,IND,loitering,2024-01-08T17:32:17.000Z,2024-01-09T00:38:32.000Z,15.1534,70.1839,22.12,7.104166666666667,0.4352854442120525,img_0003.jpg,15.0235,70.0278
ecb65d2ab-b479-36d1-58b8-e6b0133bfd1d,SHALYMOL JEGAN 2,419506726,IND,loitering,2024-01-09T02:02:46.000Z,2024-01-09T03:37:51.000Z,15.236,69.9382,25.51,1.5847222222222221,0.8255057729808899,img_0003.jpg,15.0235,70.0278
5b158f81d-d0cb-2369-75f2-17b766fc4280,A M MATHEW NET 4 55%,419738196,IND,loitering,2024-01-21T07:39:30.000Z,2024-01-21T09:26:34.000Z,15.2423,70.1335,26.84,1.7844444444444445,0.6297958320277942,img_0003.jpg,15.0235,70.0278
58c63dba8-8c6e-84c3-fee1-8ebcd5e0a280,ST.ANTONY JAI BHARAT,419506107,IND,loitering,2024-01-27T20:38:52.000Z,2024-01-27T23:33:39.000Z,15.2723,70.0169,27.69,2.9130555555555557,0.8561023135581274,img_0003.jpg,15.0235,70.0278
cb85655ea-a597-3d28-9077-3a98015ee763,FPMC C INTELLIGENCE,636014591,LBR,loitering,2024-01-20T03:45:37.000Z,2024-01-20T06:48:39.000Z,14.875,70.2451,28.59,3.0505555555555555,0.8730413803267179,img_0003.jpg,15.0235,70.0278
cdc0ab713-3622-dfd4-0f62-94ecad47dac3,A M MATHEW NET 4 70%,419738196,IND,loitering,2024-01-22T10:16:22.000Z,2024-01-23T02:58:42.000Z,14.792,70.2534,35.36,16.705555555555556,0.4246140998461606,img_0003.jpg,15.0235,70.0278
f04040255-55c4-0298-d4f6-564dda0982f7,JAG RADHA,419001217,IND,loitering,2024-01-31T05:37:48.000Z,2024-01-31T07:39:39.000Z,14.9797,69.6957,36.0,2.0308333333333337,0.5683607607642196,img_0003.jpg,15.0235,70.0278
71c03e7d3-373a-c4ad-09dd-7c8d588b26e4,SHALIMOL,419818359,IND,loitering,2024-01-07T13:57:11.000Z,2024-01-07T16:37:33.000Z,15.0057,70.0451,4.27,2.672777777777778,0.2164549427788607,img_0002.jpg,15.0103,70.0056
69da4063f-f5f8-a1fc-94a2-42e180ef4ca3,SHALIMOL BOUY-3,419512092,IND,loitering,2024-01-07T12:36:55.000Z,2024-01-07T23:05:35.000Z,15.0565,70.1124,12.57,10.477777777777778,0.1367781485178621,img_0002.jpg,15.0103,70.0056
38cd02d98-80c6-5e7a-33b4-4309bab108f1,PUNITHAANTHONIYAR,419435106,IND,loitering,2024-01-08T23:06:45.000Z,2024-01-09T00:54:31.000Z,15.1516,70.1702,23.65,1.7961111111111112,1.1199574124087486,img_0002.jpg,15.0103,70.0056
1c8ab4213-3f79-da2e-1f20-847ad6ea0058,JERUSALEM NET 1_95%,419731259,IND,loitering,2024-01-08T17:32:17.000Z,2024-01-09T00:38:32.000Z,15.1534,70.1839,24.89,7.104166666666667,0.4352854442120525,img_0002.jpg,15.0103,70.0056
ecb65d2ab-b479-36d1-58b8-e6b0133bfd1d,SHALYMOL JEGAN 2,419506726,IND,loitering,2024-01-09T02:02:46.000Z,2024-01-09T03:37:51.000Z,15.236,69.9382,26.12,1.5847222222222221,0.8255057729808899,img_0002.jpg,15.0103,70.0056
58c63dba8-8c6e-84c3-fee1-8ebcd5e0a280,ST.ANTONY JAI BHARAT,419506107,IND,loitering,2024-01-27T20:38:52.000Z,2024-01-27T23:33:39.000Z,15.2723,70.0169,29.16,2.9130555555555557,0.8561023135581274,img_0002.jpg,15.0103,70.0056
5b158f81d-d0cb-2369-75f2-17b766fc4280,A M MATHEW NET 4 55%,419738196,IND,loitering,2024-01-21T07:39:30.000Z,2024-01-21T09:26:34.000Z,15.2423,70.1335,29.22,1.7844444444444445,0.6297958320277942,img_0002.jpg,15.0103,70.0056
cb85655ea-a597-3d28-9077-3a98015ee763,FPMC C INTELLIGENCE,636014591,LBR,loitering,2024-01-20T03:45:37.000Z,2024-01-20T06:48:39.000Z,14.875,70.2451,29.81,3.0505555555555555,0.8730413803267179,img_0002.jpg,15.0103,70.0056
f04040255-55c4-0298-d4f6-564dda0982f7,JAG RADHA,419001217,IND,loitering,2024-01-31T05:37:48.000Z,2024-01-31T07:39:39.000Z,14.9797,69.6957,33.46,2.0308333333333337,0.5683607607642196,img_0002.jpg,15.0103,70.0056
cdc0ab713-3622-dfd4-0f62-94ecad47dac3,A M MATHEW NET 4 70%,419738196,IND,loitering,2024-01-22T10:16:22.000Z,2024-01-23T02:58:42.000Z,14.792,70.2534,36.03,16.705555555555556,0.4246140998461606,img_0002.jpg,15.0103,70.0056
71c03e7d3-373a-c4ad-09dd-7c8d588b26e4,SHALIMOL,419818359,IND,loitering,2024-01-07T13:57:11.000Z,2024-01-07T16:37:33.000Z,15.0057,70.0451,3.52,2.672777777777778,0.2164549427788607,img_0004.jpg,15.0216,70.0168
69da4063f-f5f8-a1fc-94a2-42e180ef4ca3,SHALIMOL BOUY-3,419512092,IND,loitering,2024-01-07T12:36:55.000Z,2024-01-07T23:05:35.000Z,15.0565,70.1124,10.98,10.477777777777778,0.1367781485178621,img_0004.jpg,15.0216,70.0168
38cd02d98-80c6-5e7a-33b4-4309bab108f1,PUNITHAANTHONIYAR,419435106,IND,loitering,2024-01-08T23:06:45.000Z,2024-01-09T00:54:31.000Z,15.1516,70.1702,21.91,1.7961111111111112,1.1199574124087486,img_0004.jpg,15.0216,70.0168
1c8ab4213-3f79-da2e-1f20-847ad6ea0058,JERUSALEM NET 1_95%,419731259,IND,loitering,2024-01-08T17:32:17.000Z,2024-01-09T00:38:32.000Z,15.1534,70.1839,23.17,7.104166666666667,0.4352854442120525,img_0004.jpg,15.0216,70.0168
ecb65d2ab-b479-36d1-58b8-e6b0133bfd1d,SHALYMOL JEGAN 2,419506726,IND,loitering,2024-01-09T02:02:46.000Z,2024-01-09T03:37:51.000Z,15.236,69.9382,25.29,1.5847222222222221,0.8255057729808899,img_0004.jpg,15.0216,70.0168
5b158f81d-d0cb-2369-75f2-17b766fc4280,A M MATHEW NET 4 55%,419738196,IND,loitering,2024-01-21T07:39:30.000Z,2024-01-21T09:26:34.000Z,15.2423,70.1335,27.55,1.7844444444444445,0.6297958320277942,img_0004.jpg,15.0216,70.0168
58c63dba8-8c6e-84c3-fee1-8ebcd5e0a280,ST.ANTONY JAI BHARAT,419506107,IND,loitering,2024-01-27T20:38:52.000Z,2024-01-27T23:33:39.000Z,15.2723,70.0169,27.88,2.9130555555555557,0.8561023135581274,img_0004.jpg,15.0216,70.0168
cb85655ea-a597-3d28-9077-3a98015ee763,FPMC C INTELLIGENCE,636014591,LBR,loitering,2024-01-20T03:45:37.000Z,2024-01-20T06:48:39.000Z,14.875,70.2451,29.45,3.0505555555555555,0.8730413803267179,img_0004.jpg,15.0216,70.0168
51f980af4-4b3e-bb3e-9f96-42fea53763b3,AVEMARIYA NF NET3,419507224,IND,loitering,2024-02-05T01:51:00.000Z,2024-02-05T18:48:33.000Z,15.2538,70.1952,32.15,16.959166666666672,0.1449829164823932,img_0004.jpg,15.0216,70.0168
f04040255-55c4-0298-d4f6-564dda0982f7,JAG RADHA,419001217,IND,loitering,2024-01-31T05:37:48.000Z,2024-01-31T07:39:39.000Z,14.9797,69.6957,34.8,2.0308333333333337,0.5683607607642196,img_0004.jpg,15.0216,70.0168
